,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Fonte,Identifier,Título
258,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas onduladas. Pés da frente em ligeira cambota, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.23||54.028.II/030.095,Cadeira||Cadeira
259,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas onduladas. Pés da frente em ligeira cambota, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.22||54.028.I/030.094,Cadeira||Cadeira
260,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Etnográfico,Não identificado,23/08/1953||Século XVIII,"Cadeira de jacarandá, versão de estilo seiscentista, pés e travejamento completo torneados, este em 02 níveis, iguais nas faces opostas. Espaldar e assento sem guarnição de sola, com duas traves verticais, ¼ reto e ¾ torneados formando os pés traseiros. No centro duas traves horizontais retas, pés dianteiros torneados e sustentados por 04 traves em bolachas.",José de Castro Berquó,05.05.20||54.027/030.092,Cadeira||Cadeira de Damiana da Cunha
261,Brasil > Goiás > Cidade de Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em duas traves, sendo a superior recortada nas extremidades; pés da frente recurvados para dentro, sustentados por traves em forma de “H”.",Não identificada,05.05.17||54.026/030.089,Cadeira||Cadeira
262,Brasil > Goiás > Cidade de Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em duas traves, sendo a superior recortada nas extremidades; pés da frente recurvados para dentro, sustentados por traves em forma de “H”.",Não identificada,05.05.19||54.026.II/030.091,Cadeira||Cadeira
263,Brasil > Goiás > Cidade de Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em duas traves, sendo a superior recortada nas extremidades; pés da frente recurvados para dentro, sustentados por traves em forma de “H”.",Não identificada,05.05.18||54.026.I/030.090,Cadeira||Cadeira
264,Brasil > Goiás,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico,Não identificado,1954||Século XIX,"Base circular com frisos incisos, haste em coluna torneada. Recipiente para azeite circular com 03 bicos, tampa em 03 secções, círculo de metal, do cone e terminal do centro do recipiente sai uma haste.",Não identificada,05.04.09||54.025/030.088,Candeia||Candeia de azeite
265,Não identificado,Objetos Cerimoniais > Objeto de Culto||09 Objetos Cerimoniais > 09.3 Objeto de Culto||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,"Lampadário com 06 lumes ou 06 braços recortados e vazados com decoração floral, base piramidal terminando em pinha e argola. Com campânulas para vela. Três correntes trabalhadas com vazado em cruz que unem a base ao chapéu, também cinzelado.",Igreja de Nossa Senhora do Carmo,09.03.01||54.024/030.087,Lampadário||Lampadário (candelabro)
266,Brasil > Goiás,Objetos Cerimoniais > Objeto Comemorativo||09 Objetos Cerimoniais > 09.2 Objeto Comemorativo||Acervo Museológico||Arquitetura,Não identificado,1954||Século XIX > 1866,"Pedra comemorativa da reconstrução do Palácio Conde dos Arcos. Forma retangular, trazendo entalhado na pedra as seguintes inscrições: “Reconstruído na Administração do Exmo. Sr. Dezembargador Júlio Barboza de Vasconcelos. 1886.”",Arthur José Lopes,09.02.01||54.023/030.086,Pedra comemorativa||Pedra comemorativa
267,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XVIII,"Mesa com tampo de balanço, uma gaveta central com três almofadas recortadas em pequeno relevo, pernas em cavalete e travamento disposto em dois níveis, iguais nas faces opostas.",Maria Affonso Vespucci,05.05.16||54.022/030.085,Mesa||Mesa
268,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,01/03/1954||Século XIX,"Arqueta formato retangular, revestida de couro com pregaria, tampo com friso de tacho, desenho em tachos representando dobradiças, 02 atrás e 01 na frente. Laterais com frisos em tacho, alça em argola de ferro, na frente friso em tacho, na parte inferior nos cantos formando quadrado, na frente 03 triângulos. Fechadura com espelhos de ferro contornado com frisos em tachos.",Diva Gonzaga de Siqueira,05.05.15||54.021/030.084,Arca||Arca
269,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XVIII,"Oratório entalhado, verga ondulada, empena curvilínea assimétrica, com pináculo à feição de labareda em cada extremidade. Literalmente pilastrada entalhada com SS fantasiosos e elementos fitomorfos. Talha vigorosa, de uma desenvoltura incomum na cidade, dourado sobre fundo anil. Internamente estamparia posterior em ramos de flores.",Igreja do Rosário de Goiás,05.05.14||54.020/030.083,Oratório||Oratório de embutir ou Oratório nicho
270,Itália,Artes Visuais > Pintura||02 Artes Visuais/Cinematográfica > 02.6 Pintura||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,"Busto de uma madona com as mãos postas, usando túnica vermelha com manto azul escuro. Sobre a cabeça véu branco.",Diva Gonzaga de Siqueira,02.06.02||54.019/030.082,Quadro||Madona
271,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,Balaústre com 17 colunas torneadas em forma de dois vasos sobrepostos na parte superior e inferior. Travessas com frisos.,Cristovão J. de Oliveira,04.04.21||54.016/030.079,Balaústre||Balaústre
272,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,"Forma retangular, entalhado com cartela decorativa por elementos florais, tendo no centro cruz do calvário.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.20||54.015/030.078,Fragmento||Fragmento de Altar
273,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XVIII,"Forma retangular, parte superior em curva, coroada com entalhe de madeira. Moldura lisa. No centro tábua com furos formando grade.",Igreja de Nossa Senhora do Pilar de Ouro Fino,05.05.13||54.014/030.077,Frontal de Confessionário||Frontal de Confessionário
274,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,"Coluna canelada com curvas, entrecurvas e volutas.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.18||54.013/030.075,Coluna de Altar||Coluna de Altar
275,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,"Coluna canelada com curvas, entrecurvas e volutas.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.19||54.013.I/030.076,Coluna de Altar||Coluna de Altar
276,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,"Pilastra misulada, base quadrangular, corpo em forma de vaso com volutas incisas na parte frontal. Na parte superior triângulo abaulado com pino na ponta.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.16||54.012/030.073,Pináculo||Pináculo
277,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1954||Século XVIII,"Pilastra misulada, base quadrangular, corpo em forma de vaso com volutas incisas na parte frontal. Na parte superior triângulo abaulado com pino na ponta.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.17||54.012.I/030.074,Pináculo||Pináculo
278,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,"Corrente com 22 elos em forma de oito, com um cravo em uma das extremidades.",Não identificada,13.2.09||54.011/030.072,Corrente||Corrente
279,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,Dois semicírculos unidos em uma das extremidades e duas argolas nas outras.,Não identificada,13.2.08||54.010/030.071,Gargalheira||Gargalheira
280,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,"Quatro peças de ferro unidas por dobradiças e fechadas por pino, formando dois círculos nas extremidades para os pés e 02 semicírculos centrais para os pulsos.",Não identificada,13.2.07||54.009/030.070,Vira mundo||Vira mundo
281,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,Dois semicírculos unidos por elos numa das extremidades e nas outras duas argolas fechadas.,Não identificada,13.2.06||54.008/030.069,Gargalheira||Gargalheira
282,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,Dois semicírculos unidos por elos numa das extremidades e nas outras duas argolas fechadas.,Não identificada,13.2.05||54.007/030.068,Gargalheira||Gargalheira
283,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,Duas argolas de ferro em duas seções que se encaixam unidas por 03 elos de corrente.,Não identificada,13.2.04||54.006/030.067,Peia||Peia para os pés
284,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,Dois semicírculos unidos por elos numa das extremidades e nas outras duas argolas fechadas.,Não identificada,13.2.03||54.005/030.066,Gargalheira||Gargalheira
285,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,"Dois semicírculos com haste no centro, fechado com uma argola retangular.",Não identificada,13.2.02||54.004/030.065,Algema||Algema
286,Brasil > Goiás,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Abolição | Escravatura,Não identificado,1954||Século XIX,"Algema de ferro, composta de dois semicírculos unidos por dobradiças.",Não identificada,13.2.01||54.003/030.064,Algema||Algema (infantil)
287,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,01/11/1953||Século XVIII,"Canastra (baú) de madeira revestida de couro taxeado. Forma retangular, tampa côncava com contorno em tachas, na parte traseira 05 desenhos em tacho representando dobradiças, 03 atrás e 02 na frente. No centro “EFL” desenhado em tachas, atrás no centro friso em tachas, na lateral alças de ferro em argola. Na frente desenhos de volutas em tacha, 02 fechaduras com espelhos representando capetas.",José de Castro Berquó,05.05.12||54.002/030.063,Baú||Baú (canastra)
288,Não identificado,Trabalho > Equipamento de Artistas/Artesãos||06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Acervo Museológico,Não identificado,1954||Século XVIII,"Base retangular com orifícios, dois na frente e um atrás para fixação à bancada. Haste em curva com guia para altura. Manivela horizontal com dois punhos filetados, terminada por pino. Rosca terminada por disco com haste para medir altura na guia.",Casa de Fundição de Vila Boa | Arquivo da Delegacia Fiscal,06.03.02||54.001/030.062,Prensa||Prensa de cunhar moedas
289,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Peanha semicircular, em gomos com a terminação em pinha.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.14||52.043/030.060,Fragmento de nicho||Fragmento de nicho
290,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Peanha semicircular, em gomos com terminação em pinha. Dossel com parte superior em gomos com a terminação em pinha com sanefa recortada.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.13||52.042/030.059,Nicho||Nicho
291,Brasil > Goiás > Cidade de Goiás,Artes Visuais > Escultura||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico,Cincinato da Mota Pedreira,1952||Século XIX,"Busto feminino. Mulher desnuda, cabelos anelados caídos nas costas, com o braço esquerdo voltado para trás.",Prefeitura Municipal de Goiás,02.03.13||52.041/030.057,Busto||Busto
292,Brasil > Goiás > Cidade de Goiás,Artes Visuais > Escultura||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico,Cincinato da Mota Pedreira,1952||Século XIX,Busto masculino. Homem de barba crespa e grande. Calvo. Usando túnica e capuz.,Prefeitura Municipal de Goiás,02.03.14||52.041.I/030.058,Busto||Busto
293,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XVIII,"Caixa retangular. Duas portas em arco. Frontão triangular em curva terminando em folha de acanto. Interior pintado de azul com rosas vermelhas, inclusive nas portas. Oratório de mesa cedro, cornija reta de perfil acentuado com coroamento à feição de empena curvilínea barroca, porta de 02 folhas lisas e estreitas pregueadas à face e de verga ondulada. Pintura interna primitiva em ramos de flores vermelhas sobre azul, inclusive nas portas. Peça completa com exceção da cruz solere.",Diva Gonzaga de Siqueira,05.05.11||52.040/030.056,Oratório||Oratório de mesa
294,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XVIII,"Caixa retangular com 02 portas, almofadas com vestígios de pintura em “chinesices”, laterais com recorte triangular formando pés. Interior com espaço para gaveta, em arcada vermelha com friso recortado. Pintado de azul decorado com ramo de rosas vermelhas; No fundo 05 peanhas azuis com frisos vermelhos; torneados dispostos simetricamente. Pintura interna das portas na cor azul com ramos de rosas vermelhas e brancas amarradas com laço de fita rosa.",Igreja do Carmo da Cidade de Goiás,05.05.10||52.039/030.055,Oratório||Oratório
295,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Cabeça de frente, olhos baixos, boca com cantos levantados, nariz aquilino, fisionomia alegre, cabelos curtos em bandos inteiro, asas com bordas recortadas.",Igreja de Nossa Senhora do Pilar de Ouro Fino,02.03.12||52.038/030.054,Querubim||Querubim
296,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Cabeça de frente. Olhos baixos. Boca entreaberta, nariz aquilino. Fisionomia alegre. Cabelos curtos, anelados. Queixo em bola.",Igreja de Nossa Senhora do Pilar de Ouro Fino,02.03.10||52.037/030.052,Cabeça de anjo||Cabeça de anjo
297,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Cabeça de frente, olhos baixos, boca entreaberta, nariz aquilino, fisionomia alegre, queixo em bola partido no meio, cabelos curtos cacheados.",Igreja de Nossa Senhora do Pilar de Ouro Fino,02.03.11||52.037.I/030.053,Cabeça de anjo||Cabeça de anjo
298,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Madeira policromada de pé, de frente, cabeça erecta. Olhos abertos, boca entreaberta, nariz aquilino, queixo em bola. Cabelos curtos cacheados. Pescoço curto. Braço esquerdo caído na vertical. Perna direita flexionada na lateral. Perna esquerda firme. Desnudo.",Igreja de Nossa Senhora do Pilar de Ouro Fino,02.03.08||52.036/030.050,Anjo||Anjo
299,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico,Não identificado,1952||Século XVIII,"Madeira policromada, corpo de pé, de frente, cabeça levemente inclinada à esquerda, olhos abertos, boca entreaberta, nariz aquilino, queixo para frente, cabelos curtos cacheados, pescoço curto, braço esquerdo móvel, flexionado na lateral, mão esquerda na posição de segurar. Perna direita apoiada, esquerda flexionada a frente. Desnudo.",Igreja de Nossa Senhora do Pilar de Ouro Fino,02.03.09||52.036.I/030.051,Anjo||Anjo
300,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Em forma de pluma com base de folha de acanto.,Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.09||52.035/030.046,Florão||Florão
301,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Florão talhado em madeira cedro. Forma de folha de acanto com laterais em volutas e terminação abaulada.,Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.12||52.035.III/030.049,Florão||Florão
302,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Vieira azul e rosa (vestígios) com pérolas nas pontas e arremate azul.,Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.11||52.035.II/030.048,Florão||Florão
303,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Vieira com laterais com volutas e parte inferior com três plumas. Haste lisa para encaixe.,Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.10||52.035.I/030.047,Florão||Florão
304,Brasil > Goiás > Município de Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Balaústre com duas colunas quadrangulares.,Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.08||52.034/030.045,Balaústre||Balaústre
305,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XVIII,"Oratório de madeira cedro recortada, de proporção esguia, cornija ondulada, empena curvilínea com ressalto nas bordas, forma retangular, pintado de bege com frisos dourados. Remanescentes de ouro sobre fundo pintado. Porta em arco com friso recortado dourado. Frontão triangular encimado por plumas. Interior azul com motivos fitomórficos brancos. Havia uma porta única e paredes laterais de vidro.",Igreja de Nossa Senhora do Carmo,05.05.09||52.033/030.044,Oratório||Oratório
306,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1954||Século XIX,"Formato retangular, com perilatura robusta e coroamento de palmeta estilizada. Duas portas com 03 almofadas lisas em cada, presas com dobradiças de metal. Forte embasamento recortado. Pés formando semicírculos com recortes. Frontão curvo encimado por elementos fitomórficos. No interior arcada com entalhes dourados. Pintura anil com estamparia e guarnição dourada.",Diva Gonzaga de Siqueira,05.05.08||52.032/030.043,Oratório||Oratório de mesa
307,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XVIII,"Cadeira de forma quadrangular, espaldar e assento de couro lavrado com motivo floral (faltando o couro do assento). Pés retos de seção quadrada, travejamento da frente recortado e entalhado e os demais de tabuado simples.",Igreja de Nossa Senhora do Pilar de Ouro Fino,05.05.07||52.031/030.042,Cadeira||Cadeira da Igreja de Ouro Fino
308,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Corpo de pé levemente inclinado a esquerda. Cabeça de perfil meio inclinada a esquerda. Olhos baixos, boca entreaberta. Nariz aquilino, fisionomia triste. Cabelo curto, cacheado. Barba esculpida partida. Pescoço longo. Braço direito flexionado a vertical. Braço esquerdo flexionado na diagonal. Mão direita expressiva de abençoar. Mão esquerda apoiando menino Jesus. Pernas em passo a frente. Túnica ¾ de fundo vermelho com motivos fitomorfos prata e acinzentados. Manto caído sobre o ombro esquerdo transpassado na frente; fundo escuro com motivos fitomorfos prateados. Calçado de botas cano alto. Menino Jesus – sentado de perfil, cabeça meio inclinada a direita. Olhos abertos, boca entreaberta, nariz achatado. Fisionomia serena. Cabelos curtos ondulados, pescoço curto atarracado. Braço direito flexionado na lateral tocando na barba de S. José. Braço esquerdo flexionado na vertical. Pernas flexionadas. Pés descalços em afastamento. Panejamento envolvendo o corpo. Peanha redonda com recortes.",Igreja de Traíras,02.03.07||52.030/030.041,Santo||São José de Botas com o Menino Jesus
309,Não identificado,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Corpo de pé, de frente, cabeça inclinada levemente à esquerda, olhos de vidro, boca com cantos levantados, nariz aquilino, fisionomia alegre, cabelos curtos incisos com tonsura, barba curta incisa partida. Braço direito estendido na diagonal, o esquerdo flexionado na vertical. Apoio na perna esquerda, joelho direito flexionado. Pés afastados calçados com sapato de gáspea alta, o direito sobre gruta. Hábito beneditino em fundo escuro com decoração fitomorfa e barra dourada. Sobrepeliz branca com decoração. Peanha em forma de pedra. Madeira policromada com remanescentes de ouro.",Não identificada,02.03.06||52.029/030.040,Santo||São Gonçalo
310,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Corpo de pé, posição frontal; cabeça erecta, olhos abertos, boca fechada, nariz achatado, queixo em bola, fisionomia serena. Cabelos incisos curtos em tonsura, pescoço curto. Braço direito flexionado na vertical. Braço esquerdo flexionado na lateral, segurando um livro. Mão direita expressiva e mão esquerda expressiva de segurar. Pernas firmes a frente. Pés firmes a frente em pequeno afastamento, calçados com sandálias. Hábito beneditino. Peanha retangular com ângulos dianteiros arredondados.",Igreja de Nossa Senhora do Rosário,02.03.05||52.028/030.039,Santo||Santo Antônio
311,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XIX,"Corpo de pé, posição frontal. Cabeça pendida a frente. Olhos de vidro, abertos e voltados para baixo. Boca entreaberta com cantos levantados. Nariz aquilino, fisionomia serena. Barba esculpida em leque, partida. Braço direito estendido a frente. Braço esquerdo flexionado na diagonal com mão sobre o peito. Mão direita segurando um cajado de metal. Perna direita flexionada a frente, perna esquerda apoiada atrás. Pé direito à frente, pé esquerdo atrás, levemente inclinado para lateral. Hábito franciscano. Peanha retangular vermelha. Pés descalços.",Não identificada,02.03.04||52.027/030.038,Santo||São Francisco de Paula
312,Brasil > Goiás > Município de Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XIX,"Encosto reto sustentado por 03 traves verticais encimadas por ponteiras quadrangulares, das colunas das pontas saem os braços em volutas. Assento reto em tampa. Seis pés retos sustentados por duas traves na frente e costas; 02 traves laterais e uma no centro.",Igreja do Ferreiro,05.05.06||52.026/030.037,Banco-Arca||Banco-Arca
313,Brasil > Goiás > Município de Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,José Francisco Hutim,1952||Século XVIII > 1760,"Mesa de madeira aroeira, versão simplificada de padrão erudito seiscentista, pés e travejamento completo em bolachas, sustentados por 04 travessões também em bolachas. Tampo em duas tábuas de encaixe retangular, caixa para gaveta retangular.",Umbelino Galvão de Moura Lacerda,05.05.05||52.025/030.036,Mesa||Mesa
314,Brasil > Goiás > Município de Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Cartela retangular com frontão em volutas com panejamento. Motivo central circular com entalhes fitomorfos.,Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.07||52.024/030.035,Cartela||Cartela
315,Brasil > Goiás > Município de Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,26/07/1952||Século XVIII,"Frontão curvo, arrematado por volutas, ladeado por guirlandas, encimado por cartela recortada com decoração em vieira. Colunas e pedestais com curvas, contra curvas e volutas, com decoração de folha de acanto, ladeado por guirlandas. Duas tiras floridas terminadas por vieiras.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.07||52.024/030.035,Retábulo||Retábulo (conjunto)
316,Brasil > Goiás > Pirenópolis,Interiores > Acessório de Interiores||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1952||Século XVIII,"Banco Arca com encosto ovalado, recortado com 03 pontas, contornado por friso inciso com desenhos de volutas; o assento retangular é móvel por servir de tampa para a arca; laterais encurvadas em forma de “C” com volutas incisas. Caixa com duas almofadas incisas e fecho de metal com dobradiça; parte superior arredondada; lingüeta com frisos. Na caixa, parafuso com argola.",Não identificada,05.05.04||52.023/030.034,Banco-Arca||Banco-Arca
317,Brasil > Goiás > Município de Goiás,Interiores > Acessório de Interiores||05 Interiores > 05.1 Acessório de Interiores||Acervo Museológico||Religioso,Não identificado,26/07/1952||Século XVIII,"Base retangular com ângulos batidos. Corpo abaulado, pintado de verde com ângulos vermelhos e na parte frontal reserva branca com cercadura azul.",Igreja de Nossa Senhora do Pilar de Ouro Fino,05.01.01||52.022/030.033,Peanha||Peanha
318,Brasil > Goiás > Município de Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Pia Batismal esculpida em calcáreo róseo, forma arredondada, na borda dois frisos entalhados. Base quadrangular.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.06||52.021/030.032,Pia Ritual||Pia Batismal
319,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Tábua pintada com flores e rocalha, nos tons branco, azul, vermelho. Na parte superior cordão com borla.",Igreja do Carmo da Cidade de Goiás,04.04.05||52.020/030.031,Tábua||Tábua de teto
320,Brasil > Goiás > Município de Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Cartela recortada em curvas e contra curvas. Com entalhes fitomorfos. No centro reservas com curvas e contra curvas incisas, terminando por vieira.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.04||52.019/030.030,Cartela||Cartela
