Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Patrimônio  Patrimônio - legislação  Patrimônio - legislação - recomendações internacionais  Carta de atenas  Compromisso de brasília  Legislação  Legislação de proteção ao patrimônio  Legislação - patrimônios diversos;;344 p.;;Caderno de Documentos;;1;Brasília : Iphan, 1995.;(Caderno de Documentos);Cartas Patrimoniais;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;1. ed.;;;;;;;;;;;;;;;;
Patrimônio - legislação  Legislação  Legislação de proteção ao patrimônio  Legislação - patrimônios diversos  Patrimônio - legislação - recomendações internacionais  Patrimônio;;384 p.;;;2ª ed. revista e aumentada.;2;Rio de Janeiro : Iphan, 2000.;;Cartas Patrimoniais;IPHAN-BA(581);;Cury,Isabelle (org.);ISBN 85-7334-015-0;2 . ed.;;;;;;;;;;;;;;;;
Patrimônio  Patrimônio - legislação  Patrimônio - legislação - recomendações internacionais  Legislação de proteção ao patrimônio  Legislação - patrimônios diversos;;343 p.;;Cadernos de documentos;;;Brasília : Iphan, 1995.;(Cadernos de documentos);Cartas patrimoniais;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possui;;;;;;;;;;;;;;;;;
Patrimônio - educação  Agentes patrimoniais  Educação patrimonial  Patrimônio;;28 p. : il.;Gertze, Jurema Mazuhy;;;;Porto Seguro, BA : Iphan, 2000.;;Cartilha para Formação de Agentes Patrimôniais;IPHAN-BA(581);;Cardoso,Dorival Tadeu ( Texto);;;;;;;;;;;;;;;;;;
Museu casa cel. joaquim lacerda;;28 p. : il.;;;;;Paraná : Museu Casa Lacerda, 1986.;;Casa Cel. Joaquim Lacerda - 10 anos;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
;;;;;;;Goiás : 14ª Coordenação Regional/IPHAN, 1995.;;Casa do Bispo : sede da 17ª Sub-Regional II;IPHAN-BA(581);;Iphan/ Minc;;;;;;;;;;;;;;;;;;
Ornamentos sagrados  Patrimônio cultural  Educação patrimonial  Educação patrimonial - bens culturais - brasil -preservação  Artesanato  Candomblé  Candomblé - bahia  Patrimônio;;72 p. : il.;;Preservação e Desenvolvimento: Monumenta;;;Brasília : IPHAN / Programa Monumenta, 2007.;(Preservação e Desenvolvimento: Monumenta);Casa dos objetos mágicos;IPHAN-BA(581);;Programa Monumenta;ISBN 978-85-7334-050-1;;;;;;;;;;;;;;;;;
Artesanato  Candomblé - bahia  Ornamento  Patrimônio cultural  Du  Ornamento - decoração  Iphan  Educação patrimonial;;69 p. : il.;;Preservação e Desenvolvimento: Monumenta;;;Salvador : Iphan, 2007.;(Preservação e Desenvolvimento: Monumenta);Casa dos objetos mágicos : Salvador - BA;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN 978-85-7334-050-1;;;;;;;;;;;;;;;;;
Jorge amado  Etnologia social  Psicologia social;;163 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 7107/09;;[S.l.]  [s.n.];Biblioteca Básica do IPHAN (BA);A Casa e a rua : espaço, cidadania, mulher e morte no Brasil /;IPHAN-BA(581);;Matta,Roberto Augusto da;ISBN 86325-0759-X;;;;;;;;;;;;;;;;;
Patrimônio arquitetônico  Patrimônio cultural  Patrimônio histórico e cultural  Patrimônio  Patrimônio cultural - brasil  Bandeirantes  Casa bandeirista;;p. : il.;;;"Contextualização histórica 
Modelização virtual 
Galeria de fotos
Legendas Português e Inglês";;São Paulo : Ministério da Cultura, São Paulo : Iphan, 2008.;;Casas Bandeirantes : arquitetura colonial paulista /;IPHAN-BA(581);;Sala, Dalton;ISBN Não possui;;;;;;;;;;;;;;;;;
Inventário  Bens móveis;;140 p. p. : il.;;;Conteúdo: Módulo I - Recôncavo Maragogipe e Santo Amaro da Purificação                                                        Projeto patrocinado pela Fund. Vitae.;R306  B823  IPHAN-BA;Salvador : Iphan, 12994.;;Casas de Câmara e cadeia / IPHAN 7 C.R /;IPHAN-BA(581);;Brasil,IPHAN;;;;;;;;;;;;;;;;;;
;;64 p. : il.;;;;;Brasília : Color, 1995.;;Catálogo da Coleção Etnográfica do Iphan;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
;;34 p.;;;;;Brasília : Iphan, 2002.;;Catálogo de Publicações;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
Patrimônio imaterial - brasil  Brasil - patrimônio imaterial  Brasil - cultura popular  Cultura popular - brasil  Patrimônio cultural - brasil  Brasil - patrimônio cultural;;96 p.;;Encontros e Estudos;;;Rio de Janeiro : Iphan, Rio de Janeiro : Funarte, 2004.;(Encontros e Estudos);Celebrações e Saberes da Cultura Popular : Pesquisa - Inventário - Crítica - Perspectivas /;IPHAN-BA(581);;Fonseca,Maria Cecília Londres;ISBN 85-7507-057-6;2. ed.;;;;2;;1900  1  1  m;;;;;;;;;;
História - natal  Evolução urbana  História - arquitetura  Preservação - patrimônio;;75 p. : il.;Silva Filho,Romero de Oliveira (Org.);;;;Natal : Iphan, 2007.;;Centro Histórico de Natal;IPHAN-BA(581);;Melo,Carina Mendes dos Santos (Org.);ISBN Não consta;;;;;;;;;;;;;;;;;
São luís - patrimônio histórico  Patrimônio  Patrimônio histórico  Patrimônio da humanidade  Patrimônio mundial  Bens culturais - brasil -preservação  Educação patrimonial - bens culturais - brasil -preservação  São luís-ma;;58 p. : il.;Bogéa, Kátia Santos. Brito,Stella Regina Soares  Pestana,Raphael Gama;;anexo mapa;1;São Luís : Unesco, São Luís : Iphan, São Luís : Núcleo Gestor do Centro Histórico de São Luís, São Luís : Fumph - Fundação Municipal de Patrimônio Histórico, 2005.;;Centro Histórico de São Luís : Patrimônio Mundial;IPHAN-BA(581);;Orgs.;ISBN não tem;1. ed.;;;;;;;;;;;;;;;;
Tombamento  Patrimônio;;;;;;;[S.l.]  Iphan, IPAC, 1983.;;Centro Histórico Salvador;IPHAN-BA(581);;;;;;;;;;;;;;;;;;;;
Patrimônio;;il.;;;;;[S.l.]  Iphan;;Centro Reginal de Formação para Gestão do Patrimônio;IPHAN-BA(581);;;;;;;;;;;;;;;;;;;;
Chapada diamantina  Instituto do patrimônio histórico e artístico nacional  Cidades históricas  Programa monumenta;;76 p. : il.;;Preservação e Desenvolvimento: Monumenta;;;Brasília : IPHAN / Programa Monumenta, 2009.;(Preservação e Desenvolvimento: Monumenta);Chapada Diamantina : Lençóis-Ba;IPHAN-BA(581);;Iphan/monumenta;ISBN 978-85-7334-086-0;;;;;;;;;;;;;;;;;
Feiras livres  Brasília (DF)  Patrimônio  Patrimônio cultural  Patrimônio imaterial  Iphan;;80 p. : il.;Veloso, Mariza;;;;Brasília : Iphan, 2007.;;A cidade e suas feiras : um estudo sobre as feiras permanentes de Brasília /;IPHAN-BA(581);;Madeira, Angélica;ISBN 978-857334-63-1;;;;;;;;;;;;;;;;;
São luís - patrimônio histórico  Centro histórico  Inventário  Preservação  Patrimônio arquitetônico  Legislação  São luís-ma  História  Sítios urbanos;;570 p. : il.;;Edições do Senado;;;Rio de Janeiro : Iphan, 2006.;(Edições do Senado);Cidades históricas : São Luís;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possui;;;;;;;;;;;;;;;;;
Preservação  Patrimônio arquitetônico  Evolução urbana  Parati  História  Sítios urbanos  Centro histórico  Inventário;;268 p. : il.;;Edições do Senado;;;Rio de Janeiro : Iphan, 2007.;(Edições do Senado);Cidades Históricas, inventário e pesquisa : Parati;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possui;;;;;;;;;;;;;;;;;
Inventário  Preservação  Patrimônio arquitetônico  Legislação  Tiradentes  História  Sítios urbanos  Centro histórico;;182 p. : il.;;Edições do Senado;;;Rio de Janeiro : Iphan, 2005.;(Edições do Senado);Cidades Históricas, inventário e pesquisa : Tiradentes;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possui;;;;;;;;;;;;;;;;;
Belém (PA)  Pará  Festas religiosas  Festas religiosas - pará  Exposição  Exposições  Círio de nazaré (belém, pa.);;48 p. : il.;Lima,Maria Dorotéa de (pesquisa e texto);;;;Rio de Janeiro : Centro Nacional de Folclore e Cultura Popular, Rio de Janeiro : Iphan - 2ª SR, 2005.;;Círio;IPHAN-BA(581);;Carvalho,Luciana (pesquisa e texto);ISBN 85-7334-020-7;;;;;;;;;;;;;;;;;
Iphan  Círio de nazaré (belém, pa.)  Patrimônio  Festas religiosas;;101 p. : il.;;Dossiê Iphan;;06.0981  I59  IPHAN-BA;Rio de Janeiro : Iphan, 2006.;(Dossiê Iphan);Círio de Nazaré;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN 85-7334-024x;;;;;;;;;;;;;;;;;
Legislação  Legislação de proteção aos bens culturais  Legislação - patrimônios diversos  Leis  Legislação de proteção ao patrimônio;;320 p.;;Edições do Patrimônio;;;Rio de Janeiro : Iphan, 2006.;(Edições do Patrimônio);Coletânea de leis sobre preservação do patrimônio;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN 85-7334-027-4;;;;;;;;;;;;;;;;;
Brasil - ministério da educação e saúde  Brasil - ministério da educação e saúde - construção  Ministério da educação e saúde - brasil  Ministério da educação e saúde - brasil - história - fontes  Administração pública - brasil - história;;335 p. : il.;Sá,Paulo Sérgio Moraes de;;;725  L772  IPHAN-BA;Rio de Janeiro : Iphan, Rio de Janeiro : Minc, 1996.;;Colunas da Educação : A Construção do Ministério da Educação e Saúde /;IPHAN-BA(581);;Lissovsky,Mauricio;ISBN 85-7064-014-5;;;;;;;;;;;;;;;;;
Comunicação  Patrimônio cultural  Cidades - históricas;;136 p. : il.;;;;;[S.l.]  Iphan, 2010.;;Comunicação e cidades Patrimônio Mundial no Brasil;IPHAN-BA(581);;;;;;;;;;;;;;;;;;;;
Nacionalismo  História;;330 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 7098/09;;São Paulo : Companhia das Letras, 2008.;Biblioteca Básica do IPHAN (BA);Comunidades imaginadas : reflexões sobre a origem e a difusão do nacionalismo /;IPHAN-BA(581);;Anderson, Benedict R. O'G.   (Benedict Richard O'Gorman)   1936-;ISBN 978-85-359-1188-6;;;;;;;;;;;;;;;;;
Antropologia  Patrimônio cultural  Comunidades tradicionais  Quilombos - história  Cultura popular  Iphan;;75 p. : il.;Rabelo, Marcos Monteiro (org.);;;;Florianópolis : Iphan - 11ªSR/SC, 2008.;;Comunidades Negras de Santa Catarina : narrativas da terra, ancestralidade e ruralidade;IPHAN-BA(581);;Godoy, Clayton Peron Franco de;ISBN 978-85-7334-107-2;;;;;;;;;;;;;;;;;
Pós-modernidade  Cultura contemporânea  Pós-modernidade - cultura contemporânea  Cultura contemporânea - pós-modernidade  Condição pós-moderna  Século xx - transformação político-econômico;;349 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 2333/07;15;São Paulo : Loyola, 2006.;Biblioteca Básica do IPHAN (BA);Condição pós-moderna : uma pesquisa sobre as origens da mudança cultural /;IPHAN-BA(581);;Harvey,David;ISBN 85-1500679-0;15. ed.;;;;;;;;;;;;;;;;
Rio de janeiro  Geopolítica  Espaço urbano;;304 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 2330/07;2;Rio de Janeiro : Bertrand Brasil, 2006.;Biblioteca Básica do IPHAN (BA);A condição urbana : ensaios de geopolítica da cidade /;IPHAN-BA(581);;Gomes, Paulo Cesar da Costa;ISBN 85-286-0956-1;2. ed.;;;;;;;;;;;;;;;;
Patrimônio  Missões  Missões jesuíticas  Missões jesuíticas dos guaranis;;9 p. : il.;;;;;[S.l.]  Iphan;;Conhecendo Patrimônios Brasil 500 Anos MIssões Jesuíticas dos Guaranis;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
Cachoeira - ba  Patrimônio histórico  Patrimônio  O;;240 p. : il.;;Monumenta;;;Brasília : Iphan, 2007.;(Monumenta);O Conjunto do Carmo de Cachoeira : The Carmo Architectonic Ensemble of Cachoeira;IPHAN-BA(581);;Flexor,Maria Helena O. (Org.);ISBN 978-85-7334-058-7;;;;;;;;;;;;;;;;;
Estrutura social  Pós-modernismo  Pós-modernidade - cultura contemporânea  Pós-modernidade  Civilização moderna;;;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 122;1;[S.l.]  UNESP, 1991.;Biblioteca Básica do IPHAN (BA);As conseqüências da modernidade /;IPHAN-BA(581);;Giddens, Anthony;ISBN 87-7139-022-3;1. ed.;;;;;;;;;;;;;;;;
Conservação - restauração  Cantaria  Escultura em pedra  Monumentos  Materiais de construção  Iphan;;88 p. : il.;;;;1;Brasília : Iphan, 2005.;;Conservação de cantarias : manual /;IPHAN-BA(581);;Almeida, Frederico Faria Neves;ISBN CDD - 721.044120202;1. ed.;;;;;;;;;;;;;;;;
Conservação - restauração  Telhado  Construção civil  Iphan;;88 p. : il.;;;;1;Brasília : Iphan, 2005.;;Conservação de telhados : manual /;IPHAN-BA(581);;La Pastina Filho,José;ISBN CDD - 721.50202;1. ed.;;;;;;;;;;;;;;;;
Restauração arquitetônica em arqueologia  Arqueologia  Arqueologia - restauração arquitetônica;;il.;;;"Tese de Graduação pela Escola Nacional de Antropologia e História - México.
Tradução IPHAN/DEPROM/1998
fotocópia.";;[S.l.]  Iphan, 1998.;;Considerações Sobre a Restauração Arquitetônica em Arqueologia /;IPHAN-BA(581);;Montes,Augusto Molina;;;;;;;;;;;;;;;;;;
Geologia - geomorfologia  Entologia  Microbiologia  Piaui  Serra da capivara  Arqueologia;;124 p. : il.;Puccioni,Silvia (Org.);Cadernos do Patrimônio Cultural do Piauí;;;Teresina : Iphan, 2006.;(Cadernos do Patrimônio Cultural do Piauí);Consolidação estrutural da Toca da Estrada do Pajaú : Parque Nacional da Serra da Capivara - diagnóstico e proposta de intervenção;IPHAN-BA(581);;Figueiredo,Diva (Org.);ISBN s.n.;;;;;;;1900  1  1  m;;;;;;;;;;
Iphan  Educação patrimonial  Paraty  Patrimônio cultural;;60 p. : il.;;Preservação e Desenvolvimento: Monumenta;;;Brasília : Iphan, 2008.;(Preservação e Desenvolvimento: Monumenta);Contadores de estórias : Paraty - RJ;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN 978-85-7334-066-2;;;;;;;;;;;;;;;;;
Cidades históricas  Planejamento urbano  Espaço público  Patrimônio cultural - proteção  Política cultural;;376 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 7112/09;2;Campinas, SP : Editora da UNICAMP, 2007.;Biblioteca Básica do IPHAN (BA);Contra-usos da cidade : lugares e espaço público na experiência urbana contemporânea /;IPHAN-BA(581);;Leite, Rogério Proença;ISBN 978-85-268-0774-7;2. ed.;;;;;;;;;;;;;;;;
Cultura  Política cultural  Globalização - aspecto social;;615 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 7117/09;;Belo Horizonte : UFMG, 2004.;Biblioteca Básica do IPHAN (BA);A conveniência da cultura : usos da cultura na era global /;IPHAN-BA(581);;Yúdice, George;ISBN 85-7041-438-2;;;;;;;;;;;;;;;;;
;;200 p. : il.;;Inventário Nacional de Bens Móveis Integrados - BA;;;Salvador : Iphan, 1994.;(Inventário Nacional de Bens Móveis Integrados - BA);Convento e Igreja de Santo Antônio do Paraguaçu;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional  Programa monumenta  Cairu  Restauração  Convento franciscano;;288 p. : il.;;Grandes Obras e Intervenções;;;Brasília : IPHAN / Programa Monumenta, 2009.;(Grandes Obras e Intervenções);O Convento Franciscano de Cairu : restauração de elementos artísticos /;IPHAN-BA(581);;Argolo, José Dirson;ISBN 978-85-7334-121-8;;;;;;;;;;;;;;;;;
Du  Candomblé - bahia;;7 p. : il.;Ribeiro,Orlando;;;;[S.l.]  Iphan, 1986.;;A Coroa de Xangô no Terreiro da Casa Branca /;IPHAN-BA(581);;Capinam,Maria Bernadete;ISBN Não possui;;;;;;;;;;;;;;;;;
História - Corumbá (MS)  Corumbá (MS);;25 p. : il.;;;;1;Corumbá, MS : Iphan, 2000.;;Corumbá : história construída no Pantanal;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;1. ed.;;;;;;;;;;;;;;;;
História - Corumbá (MS)  Corumbá (MS);;25 p. : il.;;;;;Corumbá, MS : Iphan, 2000.;;Corumbá : história construída no Pantanal;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
Inglaterra - história - século xviii  Classes trabalhadoras - inglaterra - história - século xviii  Cultura popular  Inglaterra - usos e costumes  Usos e costumes  Classes trabalhadoras;;493 p. : il.;;Biblioteca Básica do IPHAN (BA);Registrado da Biblioteca Noronha Santos sob tombo nº 5728/2008 - PEP;942.07  T469c  IPHAN-AP;São Paulo : Companhia das Letras, 2008.;Biblioteca Básica do IPHAN (BA);Costumes em comum : estudos sobre a cultura popular tradicional /;IPHAN-BA(581);;Thompson, E. P.;ISBN 9788571648203;;;;;;[Customs in Common  eng];;;;;;;;;;;
Cultura  Cultura - brasil  Antropologia  Antropologia cultural;;117 p.;;Biblioteca Básica do IPHAN (BA);PEP 20;17;Rio de Janeiro : Jorge Zahar Ed., 2004.;Biblioteca Básica do IPHAN (BA);Cultura : um conceito antropológico /;IPHAN-BA(581);;Laraia,Roque de Barros;ISBN 85-7110-438-7;17. ed.;;;;;;;;;;;;;;;;
Cultura  Cultura - brasil  Cultura - história  1968  Contracultura;;133 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 891/2006;2;São Paulo : Contexto, 2004.;Biblioteca Básica do IPHAN (BA);Cultura brasileira : utopia e massificação (1950-1980) /;IPHAN-BA(581);;Napolitano,Marcos;ISBN 85-7244-157-1;2. ed.;;;;;;;;;;;;;;;;
Brasil - civilização  Brasil - história  Cultura - brasil  Identidade social;;148 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 2340/07;5;São Paulo : Brasiliense, 2006.;Biblioteca Básica do IPHAN (BA);Cultura brasileira e identidade nacional /;IPHAN-BA(581);;Ortiz,Renato;ISBN 85-1107014-1;5. ed.;;;;;;;;;;;;;;;;
Cultura  Patrimônio cultural  Proteção - brasil  Brasil - política cultural  Fundação getúlio vargas  Características nacionais brasileiras;;192 p.;;Biblioteca Básica do IPHAN (BA);"Biblioteca Noronha Santos Copedoc/IPHAN/Minc Reg. 9805. 2010.
PEP n. 174.
Inclui bibliografia.";;Rio de Janeiro : Editora FGV, 2008.;Biblioteca Básica do IPHAN (BA);Cultura é patrimonio : um guia /;IPHAN-BA(581);;Oliveira,Lùcia Lippi;ISBN 978-85-225-0658-3;;;;;;;;;;;;;;;;;
História  História social  Antropologia  Antropologia social  Cultura  Cultura - história;;253 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 116;3;São Paulo : Papirus, 1995.;Biblioteca Básica do IPHAN (BA);A Cultura no plural /;IPHAN-BA(581);;Certeau,Michel de;ISBN 85-308-0330-2;3. ed.;;;;;;;;;;;;;;;;
Cultura - américa latina  Pós-modernidade - américa latina  Arte e sociedade - américa latina;;385 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 4071/07;4;São Paulo : EDUSP, 2006.;Biblioteca Básica do IPHAN (BA);Culturas híbridas /;IPHAN-BA(581);;Canclini,Néstor García;ISBN 85-314-0382-0;4. ed.;;;;;;;;;;;;;;;;
Legislação  Legislação brasileira  Leis  Direito  Direito administrativo  Direito administrativo - brasil  Direito administrativo brasileiro;;1032 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: sem registro;20;São Paulo : Malheiros, 2006.;Biblioteca Básica do IPHAN (BA);Curso de Direito Administrativo /;IPHAN-BA(581);;Mello,Celso Antônio Bandeira de.;ISBN 85-7420-705.5;20. ed.;;;;;;;;;;;;;;;;
Direito ambiental  Direito ambiental - brasil;;642 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 7108/09;10;São Paulo : Saraiva, 2009.;Biblioteca Básica do IPHAN (BA);Curso de Direito ambiental brasileiro /;IPHAN-BA(581);;Fiorillo, Celso Antônio Pacheco;ISBN 978-85-02-07405-7;10. ed.;;;;;;;;;;;;;;;;
João vi - rei de portugal - 1767 - 1826 - brasil - história  Rei de portugal - joão vi - brasil colônia  Brasil - história - brasil - colônia - portugal história  Brasil - colônia - portugal história  Colônia - brasil - portugal - história  Portugal - história - brasil;;384 p. : il.;;Anais do Seminário Internacional - Museu Histórico Nacional;;;Rio de Janeiro : Museu Histórico Nacional, 2000.;(Anais do Seminário Internacional - Museu Histórico Nacional);D. João VI : Um Rei Aclamado na América;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
